,actual,forecast_1,forecast_2,forecast_3,forecast_4,forecast_5,forecast_6,forecast_7
2016-05-06,6.0,5.9694157,5.9765587,6.033207,6.0330706,6.009741,6.010253,6.0259457
2016-05-07,5.949999809265137,5.990548,5.9784894,5.9781284,6.03293,6.041814,6.0095296,6.0097585
2016-05-08,5.980000019073486,5.967507,5.9865255,5.9792514,5.979425,6.0354395,6.044009,6.0088058
2016-05-09,5.949999809265137,5.976773,5.9753747,5.986447,5.979953,5.9666305,6.036494,6.048232
2016-05-10,5.900000095367432,5.9539223,5.976203,5.9756646,5.986732,5.974888,5.9627814,6.037842
2016-05-11,5.860000133514404,5.9205704,5.9600463,5.976258,5.976026,5.9841,5.9734,5.9556174
2016-05-12,5.940000057220459,5.8980603,5.9361606,5.9602976,5.9762707,5.9688845,5.983877,5.9702525
2016-05-13,5.860000133514404,5.9320397,5.9186707,5.9368787,5.960611,5.975277,5.9668307,5.9834476
2016-05-14,5.809999942779541,5.8878226,5.930241,5.919695,5.937553,5.957884,5.9739304,5.9637966
2016-05-15,5.880000114440918,5.8515863,5.9039397,5.9303718,5.9207234,5.9301333,5.956825,5.97132
2016-05-16,5.760000228881836,5.8732686,5.874784,5.9045997,5.930644,5.910595,5.9280515,5.952547
2016-05-17,5.849999904632568,5.80712,5.875625,5.875922,5.9054213,5.9273634,5.907381,5.9233227
2016-05-18,5.840000152587891,5.841151,5.835143,5.8759565,5.8769836,5.8958163,5.926409,5.9010973
2016-05-19,5.71999979019165,5.837739,5.8428087,5.836346,5.8764243,5.8645344,5.892805,5.9240313
2016-05-20,5.699999809265137,5.7683268,5.841186,5.843159,5.8377066,5.8719563,5.8604193,5.8867383
2016-05-21,5.599999904632568,5.74046,5.79718,5.8413467,5.8435135,5.822717,5.8700604,5.8517365
2016-05-22,5.5,5.6755004,5.766794,5.7984295,5.841766,5.8378077,5.8183355,5.8653407
2016-05-23,5.699999809265137,5.595335,5.7174034,5.768193,5.7996283,5.8373837,5.835671,5.8082952
2016-05-24,5.949999809265137,5.6773934,5.649089,5.7194324,5.76955,5.785116,5.835441,5.8314447
2016-05-25,5.809999942779541,5.813211,5.6745925,5.6517735,5.7216287,5.7559533,5.780759,5.8305964
2016-05-26,5.920000076293945,5.7656035,5.756431,5.675013,5.654567,5.699561,5.751152,5.770624
2016-05-27,5.599999904632568,5.832078,5.7529845,5.754009,5.675811,5.624197,5.6929903,5.7412934
2016-05-28,5.789999961853027,5.6800313,5.7984276,5.7518797,5.752227,5.665415,5.615122,5.6780972
2016-05-29,5.960000038146973,5.769934,5.7243633,5.7968807,5.7508063,5.765881,5.661536,5.5966434
2016-05-30,5.579999923706055,5.88397,5.762147,5.72589,5.7948747,5.7563324,5.7691817,5.6534853
2016-05-31,5.559999942779541,5.7087264,5.840882,5.7622633,5.7272167,5.8149576,5.756797,5.7742434
2016-06-01,5.769999980926514,5.650522,5.7589903,5.838986,5.762052,5.7194295,5.819395,5.7562537
2016-06-02,5.679999828338623,5.7380004,5.6931534,5.7606726,5.837613,5.765305,5.717204,5.8260226
2016-06-03,5.860000133514404,5.691022,5.724547,5.6954536,5.762192,5.8543425,5.767847,5.7096624
2016-06-04,5.550000190734863,5.7920194,5.7004533,5.7244067,5.6972213,5.742968,5.8596387,5.7731576
2016-06-05,5.599999904632568,5.637098,5.7598515,5.700713,5.7247534,5.68045,5.7382216,5.873575
2016-06-06,5.659999847412109,5.624728,5.6803727,5.7585893,5.7013655,5.725365,5.6742554,5.729318
2016-06-07,5.539999961853027,5.6544003,5.6467385,5.68187,5.7572656,5.690152,5.7257614,5.6636066
2016-06-08,5.429999828338623,5.601854,5.658038,5.6480985,5.683378,5.7663183,5.688037,5.7240644
2016-06-09,5.429999828338623,5.5178022,5.630852,5.65841,5.6490803,5.6697063,5.767593,5.6841917
2016-06-10,5.599999904632568,5.4917264,5.5639186,5.6321077,5.6591754,5.638454,5.6644754,5.772609
2016-06-11,5.429999828338623,5.552728,5.526829,5.56615,5.6335073,5.6546144,5.635686,5.651042
2016-06-12,5.53000020980835,5.4739876,5.542287,5.5287685,5.568299,5.615562,5.653002,5.627673
2016-06-13,5.480000019073486,5.5116577,5.5031977,5.5421968,5.530882,5.5449433,5.611151,5.6504955
2016-06-14,5.5,5.4790688,5.512032,5.50432,5.5425515,5.5096006,5.5368314,5.601686
2016-06-15,5.710000038146973,5.488395,5.4902816,5.5123386,5.5057178,5.536279,5.5026946,5.522214
2016-06-16,5.650000095367432,5.607821,5.492557,5.4907546,5.5125294,5.4875135,5.534322,5.486262
2016-06-17,5.510000228881836,5.609279,5.5650845,5.4928417,5.491481,5.507299,5.481322,5.5291157
2016-06-18,5.449999809265137,5.5387034,5.589862,5.5633225,5.493115,5.485245,5.5044656,5.468575
2016-06-19,5.349999904632568,5.5027313,5.5545244,5.588611,5.561761,5.487622,5.482422,5.4970913
2016-06-20,5.28000020980835,5.436653,5.5278873,5.5549927,5.587466,5.577138,5.4862866,5.474101
2016-06-21,5.25,5.38023,5.4776587,5.5291033,5.555029,5.5977025,5.5808673,5.4816027
2016-06-22,5.380000114440918,5.339475,5.4267426,5.4796367,5.53007,5.5542455,5.600716,5.5890164
2016-06-23,5.789999961853027,5.3737154,5.3814363,5.4291115,5.48166,5.524503,5.5536995,5.605176
2016-06-24,5.349999904632568,5.5855784,5.377238,5.3836684,5.431595,5.4634385,5.5227394,5.5525746
2016-06-25,5.480000019073486,5.3947835,5.4986377,5.3778043,5.3861732,5.4055047,5.45924,5.5185356
2016-06-26,5.300000190734863,5.4458656,5.424781,5.495006,5.378784,5.3589864,5.3983307,5.4505024
2016-06-27,5.21999979019165,5.356847,5.4402814,5.4251666,5.4919667,5.3651843,5.350506,5.3862114
2016-06-28,5.239999771118164,5.3102393,5.3919396,5.440345,5.4255652,5.5176024,5.36046,5.3344245
2016-06-29,5.210000038146973,5.305325,5.3544374,5.3933587,5.4395757,5.417627,5.524036,5.349999
2016-06-30,5.25,5.2778926,5.3345942,5.356649,5.394988,5.446808,5.413982,5.535653
2016-07-01,5.289999961853027,5.256315,5.3067284,5.3362684,5.35869,5.3870244,5.447774,5.4042854
2016-07-02,5.409999847412109,5.2736735,5.269519,5.3082333,5.338188,5.3356314,5.3845696,5.447109
2016-07-03,5.420000076293945,5.3313227,5.274978,5.270361,5.3100796,5.3196826,5.331234,5.3772306
2016-07-04,5.260000228881836,5.354783,5.3060837,5.2751613,5.2714376,5.2884603,5.313373,5.32213
2016-07-05,5.5,5.287567,5.333383,5.305029,5.27561,5.256577,5.2822213,5.305502
2016-07-06,5.340000152587891,5.4121985,5.306249,5.332223,5.304156,5.2683663,5.251203,5.2678924
2016-07-07,5.25,5.3565755,5.3739567,5.306817,5.3311367,5.310024,5.2649903,5.2406344
2016-07-08,5.570000171661377,5.3098392,5.3624377,5.372529,5.3071136,5.3405867,5.31094,5.2561736
2016-07-09,5.559999942779541,5.4702525,5.333972,5.362296,5.370973,5.3040056,5.3425736,5.3103046
