record_date,volume,avg_price
1/15/2017,3454944688,4.7
1/16/2017,1569364058,4.84
1/17/2017,2593971510,4.7
1/18/2017,2426569534,4.61
1/19/2017,2840075141,4.8
1/20/2017,2509119978,4.97
1/21/2017,2865624715,4.83
1/22/2017,2617680952,4.74
1/23/2017,2835690106,4.55
1/24/2017,2683383835,4.62
1/25/2017,2138982287,4.65
1/26/2017,2089895504,4.65
1/27/2017,1475535618,4.45
1/28/2017,2894693756,4.44
1/29/2017,2333218761,4.69
1/30/2017,1592030484,4.6
1/31/2017,2500607299,4.74
2/1/2017,2015546868,4.51
2/2/2017,1809282900,4.51
2/3/2017,1803115578,4.41
2/4/2017,2099585533,4.41
2/5/2017,3451444135,4.46
2/6/2017,1776799099,4.4
2/7/2017,1505094444,4.35
2/8/2017,2958973370,4.34
2/9/2017,1600517045,4.5
2/10/2017,1780057004,4.51
2/11/2017,2738861983,4.23
2/12/2017,2346196163,4.14
2/13/2017,3689709621,4
2/14/2017,1210708235,4.1
2/15/2017,2259656371,4.19
2/16/2017,2002219743,4.19
2/17/2017,1918964810,4.25
2/18/2017,3318410715,4.06
2/19/2017,2831416941,4.06
2/20/2017,1898419125,4.06
2/21/2017,2576042389,4.01
2/22/2017,2318354187,4.01
2/23/2017,2020910769,4.09
2/24/2017,2403126562,4.16
2/25/2017,2737967674,4.25
2/26/2017,3418411912,4.16
2/27/2017,2995659710,4.06
2/28/2017,2522041209,4.15
3/1/2017,1917254051,4.3
3/2/2017,3042162000,4.32
3/3/2017,2257753265,4.11
3/4/2017,2474453788,4.2
3/5/2017,1524463959,4.15
3/6/2017,1742554738,3.97
3/7/2017,1806279973,4.05
3/8/2017,1534371618,3.96
3/9/2017,1493962963,3.97
3/10/2017,2261116146,4.08
3/11/2017,2549373466,4.11
3/12/2017,2438714341,3.83
3/13/2017,2575292495,4
3/14/2017,2241618873,4.03
3/15/2017,1294715844,4.12
3/16/2017,1060306255,4.15
3/17/2017,1420763051,4.18
3/18/2017,3045386592,4.15
3/19/2017,2322505170,4.2
3/20/2017,2094217476,4.14
3/21/2017,1675958215,4.34
3/22/2017,1602013790,4.37
3/23/2017,1654751321,4.37
3/24/2017,1624282318,4.22
3/25/2017,3070044269,4.09
3/26/2017,1779538498,4.22
3/27/2017,1651002140,4.23
3/28/2017,1349832634,4.09
3/29/2017,1413650247,4.4
3/30/2017,927873680,4.39
3/31/2017,2148336293,4.13
4/1/2017,2711242953,4.3
4/2/2017,1898144179,4.39
4/3/2017,1389048231,4.47
4/4/2017,1739694804,4.3
4/5/2017,2016671943,4.4
4/6/2017,1233885459,4.4
4/7/2017,1916954836,4.37
4/8/2017,2004823454,4.41
4/9/2017,1419419849,4.32
4/10/2017,1657070561,4.46
4/11/2017,1375353620,4.38
4/12/2017,1582503557,4.22
4/13/2017,1689077424,4.51
4/14/2017,1561507914,4.21
4/15/2017,1821422824,4.52
4/16/2017,1869570689,4.4
4/17/2017,2329014780,4.42
4/18/2017,2315445904,4.5
4/19/2017,2403934684,4.58
4/20/2017,1808661737,4.57
4/21/2017,1928790967,4.6
4/22/2017,2740255352,4.52
4/23/2017,2936474520,4.56
4/24/2017,2475314284,4.55
4/25/2017,1701063151,4.65
4/26/2017,2118286582,4.48
4/27/2017,2065090734,4.48
4/28/2017,2115042523,4.55
4/29/2017,1468069548,4.65
4/30/2017,3283923812,4.84
5/1/2017,2423172204,4.6
5/2/2017,1284683053,4.8
5/3/2017,1333516648,4.74
5/4/2017,1928487514,4.59
5/5/2017,1599935691,4.54
5/6/2017,1477675693,4.61
5/7/2017,2697700217,4.55
5/8/2017,2141198956,4.48
5/9/2017,2399506581,4.44
5/10/2017,1397806736,4.71
5/11/2017,1591995801,4.55
5/12/2017,1308865868,4.79
5/13/2017,2835714896,4.82
5/14/2017,2308310570,4.65
5/15/2017,1575706222,4.68
5/16/2017,1368616579,4.7
5/17/2017,1764258204,4.66
5/18/2017,1491212477,4.64
5/19/2017,2001275763,4.69
5/20/2017,1308713508,4.69
5/21/2017,2161608314,4.7
5/22/2017,2024596337,4.7
5/23/2017,1716824547,4.78
5/24/2017,997364753,4.74
5/25/2017,1623457449,4.73
5/26/2017,2317629619,4.77
5/27/2017,1838436423,4.73
5/28/2017,1721190838,4.78
5/29/2017,1839280473,4.76
5/30/2017,2319884416,4.77
5/31/2017,1783223211,4.75
6/1/2017,2148321420,4.75
6/2/2017,2106787031,4.72
6/3/2017,2001793632,4.65
6/4/2017,1575744427,4.65
6/5/2017,875125476,4.6
6/6/2017,1857132716,4.68
6/7/2017,1348010403,4.66
6/8/2017,1249310645,4.59
6/9/2017,2203824452,4.77
6/10/2017,1924473431,4.97
6/11/2017,2349668879,4.87
6/12/2017,2409831711,4.82
6/13/2017,1526059180,4.84
6/14/2017,1278676364,4.72
6/15/2017,1572950263,4.9
6/16/2017,992345624,4.87
6/17/2017,1746787770,4.85
6/18/2017,2706003864,4.82
6/19/2017,2029988634,4.8
6/20/2017,2784634578,5
6/21/2017,1267987712,5.28
6/22/2017,2230970655,4.95
6/23/2017,1835446354,5.02
6/24/2017,3507503428,4.9
6/25/2017,1976643092,5.19
6/26/2017,1509722984,5.01
6/27/2017,1628982773,5.03
6/28/2017,1803053472,5
6/29/2017,2668024050,4.87
6/30/2017,1908227139,4.92
7/1/2017,1743220214,5
7/2/2017,1941788893,5.29
7/3/2017,1331099327,5.22
7/4/2017,2698736964,4.98
7/5/2017,1168347199,5.07
7/6/2017,996418353,5.06
7/7/2017,1343211974,5.04
7/8/2017,1751831551,5.04
7/9/2017,1839521960,4.95
7/10/2017,1274983960,5.04
7/11/2017,1156305643,4.95
7/12/2017,1456994930,5.04
7/13/2017,1596020681,4.96
7/14/2017,1242792000,5.03
7/15/2017,1276642656,5
7/16/2017,2476314831,5.07
7/17/2017,1680950080,5.28
7/18/2017,837092812,5.21
7/19/2017,1512174458,5.2
7/20/2017,2396603868,5.2
7/21/2017,2042013044,5.4
7/22/2017,2409399796,5
7/23/2017,1533156668,5.03
7/24/2017,1370921563,5.24
7/25/2017,931779550,5.59
7/26/2017,1349692271,5.18
7/27/2017,1094446873,5.22
7/28/2017,1354648923,5.22
7/29/2017,1906108716,4.94
7/30/2017,2246816143,5.25
7/31/2017,2543959135,5.77
8/1/2017,1230511741,5.19
8/2/2017,924198281,5.29
8/3/2017,1087805719,5.24
8/4/2017,1811270756,5.29
8/5/2017,1783304147,5.25
8/6/2017,1132213258,5.58
8/7/2017,1827289911,5.51
8/8/2017,1156459161,5.52
8/9/2017,1018951975,5.53
8/10/2017,1699223130,5.18
8/11/2017,1103376327,5.54
8/12/2017,1253991865,5.59
8/13/2017,2284008797,5.5
8/14/2017,1227763714,5.38
8/15/2017,964196278,5.72
8/16/2017,975792468,5.56
8/17/2017,1073019823,5.61
8/18/2017,2037715691,5.55
8/19/2017,1553895860,5.55
8/20/2017,2353620227,5.39
8/21/2017,1932825266,5.35
8/22/2017,2237760802,5.7
8/23/2017,1213504542,5.76
8/24/2017,1128952484,5.77
